Locality,Zip Code,Province,Type of Property,Subtype of Property,Price,Number of Rooms,Livable Space (m2),Fully Equipped Kitchen,Furnished,Open Fire,Terrace,Terrace Area (m2),Garden,Garden Area (m2),Swimming Pool,Surface of the Land (m2),Number of Facades,PEB,Primary Energy Consumption (kWh/m2),State of the Building,State of the Building_Numeric,PEB_Numeric,Province_Numeric,Type of Property_Numeric,Subtype of Property_Grouped,Subtype of Property_Grouped_Numeric
Woluwe-saint-pierre,1150,Brussels-Capital Region,Apartment,apartment,295000.0,2.0,75,1,0,0,1,1.0,0,0.0,0,0.0,2.0,G,412.0,To renovate,2,7,1,0,Apartments,1
Hoboken,2660,Province of Antwerp,Apartment,apartment,175000.0,3.0,90,1,0,0,1,5.0,0,0.0,0,0.0,0.0,C,232.0,Good,4,3,2,0,Apartments,1
Herne,1540,Province of Flemish Brabant,House,farmhouse,795000.0,4.0,1745,0,0,0,0,0.0,0,0.0,0,93562.0,4.0,F,1143.0,To renovate,2,6,5,1,Houses,2
Avelgem,8580,Province of West Flanders,House,villa,720000.0,3.0,265,1,0,0,0,0.0,0,0.0,0,2700.0,4.0,B,157.0,Good,4,2,4,1,Luxury Properties,4
Woluwe-saint-pierre,1150,Brussels-Capital Region,House,house,800000.0,5.0,225,1,0,0,1,15.0,0,0.0,0,122.0,3.0,G,317.0,Good,4,7,1,1,Houses,2
Oostende,8400,Province of West Flanders,Apartment,apartment,175000.0,1.0,70,0,0,0,0,0.0,0,0.0,0,0.0,0.0,C,232.0,Good,4,3,4,0,Apartments,1
Brussel,1000,Brussels-Capital Region,Apartment,apartment,285000.0,2.0,76,0,1,0,0,0.0,0,0.0,0,0.0,0.0,E,229.0,Good,4,5,1,0,Apartments,1
Liege,4000,Province of Liège,Apartment,triplex,159000.0,4.0,100,1,1,0,1,28.0,0,0.0,0,0.0,0.0,F,459.0,Just renovated,5,6,6,0,Apartments,1
Bouillon,6830,Province of Luxembourg,House,exceptional-property,750000.0,4.0,301,1,0,0,1,102.0,1,3435.0,0,3636.0,4.0,B,167.0,Good,4,2,8,1,Luxury Properties,4
Bredene,8450,Province of West Flanders,House,villa,685000.0,4.0,246,0,0,0,0,0.0,0,0.0,0,5732.0,4.0,D,378.0,Good,4,4,4,1,Luxury Properties,4
Menen,8930,Province of West Flanders,Apartment,apartment,89000.0,3.0,104,1,0,0,0,0.0,0,0.0,0,0.0,2.0,C,266.0,To be done up,3,3,4,0,Apartments,1
Chanly,6921,Province of Luxembourg,House,house,750000.0,4.0,260,1,0,0,0,0.0,1,5618.0,0,5618.0,4.0,Not specified,14.0,Not specified,7,8,8,1,Houses,2
Uccle,1180,Brussels-Capital Region,Apartment,apartment,1395000.0,4.0,287,0,0,0,1,90.0,0,0.0,0,0.0,2.0,D,192.0,To renovate,2,4,1,0,Apartments,1
Leuven,3000,Province of Flemish Brabant,House,mansion,699000.0,6.0,243,1,0,0,1,42.0,0,0.0,0,230.0,2.0,C,240.0,To be done up,3,3,5,1,Luxury Properties,4
Sint-eloois-vijve,8793,Province of West Flanders,Apartment,apartment,169000.0,2.0,77,0,0,0,0,0.0,0,0.0,0,0.0,0.0,B,317.0,Just renovated,5,2,4,0,Apartments,1
Wemmel,1780,Province of Flemish Brabant,Apartment,ground-floor,330000.0,1.0,92,0,0,0,1,15.0,0,0.0,0,0.0,0.0,A,33.0,As new,6,1,5,0,Apartments,1
Beringen,3580,Province of Limburg,House,house,1295000.0,4.0,347,1,0,0,0,0.0,0,0.0,1,1463.0,4.0,A,86.0,Good,4,1,11,1,Houses,2
Saint-gilles,1060,Brussels-Capital Region,Apartment,triplex,1650000.0,3.0,254,1,0,0,1,3.0,0,0.0,0,0.0,2.0,E,244.0,Good,4,5,1,0,Apartments,1
Deurne,2100,Province of Antwerp,Apartment,apartment,179000.0,2.0,72,1,1,0,1,5.0,0,0.0,0,0.0,2.0,C,246.0,Good,4,3,2,0,Apartments,1
Ixelles,1050,Brussels-Capital Region,Apartment,penthouse,1700000.0,3.0,200,1,0,0,1,145.0,0,0.0,0,0.0,4.0,C,143.0,Just renovated,5,3,1,0,Apartments,1
Zandhoven,2240,Province of Antwerp,House,house,575000.0,6.0,403,0,0,1,1,15.0,1,593.0,0,1084.0,4.0,C,290.0,Good,4,3,2,1,Houses,2
Borgerhout,2140,Province of Antwerp,Apartment,apartment,179000.0,2.0,72,1,1,0,1,5.0,0,0.0,0,0.0,2.0,C,246.0,Good,4,3,2,0,Apartments,1
Tubize,1480,Province of Walloon Brabant,Apartment,apartment,350000.0,2.0,92,1,0,0,0,0.0,0,0.0,0,0.0,4.0,A,73.0,As new,6,1,7,0,Apartments,1
Nivelles,1400,Province of Walloon Brabant,Apartment,apartment,178000.0,2.0,98,1,0,0,1,10.0,0,0.0,0,0.0,2.0,B,145.0,Good,4,2,7,0,Apartments,1
Etterbeek,1040,Brussels-Capital Region,House,apartment-block,850000.0,3.0,271,1,0,0,0,0.0,1,35.0,0,0.0,2.0,F,317.0,Good,4,6,1,1,Specialized Properties,3
Koksijde,8670,Province of West Flanders,Apartment,apartment,1750000.0,14.0,570,0,0,0,0,0.0,0,0.0,0,0.0,4.0,B,118.0,Good,4,2,4,0,Apartments,1
Lier,2500,Province of Antwerp,House,apartment-block,1085000.0,4.0,543,0,0,0,1,8.0,1,114.0,0,317.0,2.0,D,320.0,Good,4,4,2,1,Specialized Properties,3
Borgerhout,2140,Province of Antwerp,Apartment,apartment,194900.0,2.0,75,1,0,0,1,3.0,0,0.0,0,0.0,2.0,B,186.0,Good,4,2,2,0,Apartments,1
Haaltert,9450,Province of East Flanders,Apartment,duplex,359000.0,4.0,195,1,0,0,1,15.0,0,0.0,0,0.0,3.0,B,105.0,As new,6,2,3,0,Apartments,1
Nieuwpoort,8620,Province of West Flanders,House,house,720000.0,5.0,246,0,0,0,0,0.0,0,0.0,0,457.0,0.0,A,97.0,Good,4,1,4,1,Houses,2
Antwerpen,2020,Province of Antwerp,Apartment,apartment,179000.0,2.0,65,0,0,0,0,0.0,0,0.0,0,0.0,0.0,B,189.0,Just renovated,5,2,2,0,Apartments,1
Dilbeek,1700,Province of Flemish Brabant,House,house,880000.0,4.0,410,0,0,0,1,18.0,0,0.0,0,694.0,3.0,C,249.0,Not specified,7,3,5,1,Houses,2
Uccle,1180,Brussels-Capital Region,Apartment,apartment,1800000.0,2.0,375,1,0,0,1,75.0,1,400.0,1,0.0,0.0,D,152.0,As new,6,4,1,0,Apartments,1
Sint-lambrechts-woluwe,1200,Brussels-Capital Region,House,mansion,995000.0,5.0,280,1,0,0,0,0.0,1,300.0,0,455.0,2.0,F,317.0,Good,4,6,1,1,Luxury Properties,4
